timestamp,lat,lon,altitude_m,distance_m,speed_ms,heart_rate_bpm,cadence_rpm
2026-08-15T15:44:00Z,41.5783256,-93.6850741,286.8,0,0,96,0
2026-08-15T15:44:05Z,41.5782597,-93.684996,288,10,1.138,97,0
2026-08-15T15:44:06Z,41.5782394,-93.6849695,288.4,13.2,1.241,101,86
2026-08-15T15:44:07Z,41.5782179,-93.684943,288.4,16.4,2.958,105,86
2026-08-15T15:44:08Z,41.5781963,-93.6849191,288.4,19.5,2.995,109,84
2026-08-15T15:44:09Z,41.5781755,-93.6849063,288.4,22,2.995,112,84
2026-08-15T15:44:10Z,41.5781552,-93.6849042,288.4,24.3,2.976,114,84
2026-08-15T15:44:11Z,41.5781325,-93.684912,288.4,26.9,2.753,117,84
2026-08-15T15:44:14Z,41.5780495,-93.6849573,287.4,36.8,2.883,120,83
2026-08-15T15:44:15Z,41.5780238,-93.6849718,287.6,39.9,2.958,121,83
2026-08-15T15:44:17Z,41.5779664,-93.6849957,287,46.6,2.995,123,83
2026-08-15T15:44:20Z,41.5778849,-93.6849767,286.6,55.8,3.088,125,88
2026-08-15T15:44:22Z,41.577832,-93.6849518,285.8,62.1,3.088,127,88
2026-08-15T15:44:27Z,41.5776976,-93.6849075,284.8,77.5,3.042,130,85
2026-08-15T15:44:28Z,41.5776713,-93.6849099,284.8,80.5,3.042,130,85
2026-08-15T15:44:33Z,41.5775474,-93.6849903,284.6,95.9,3.051,132,85
2026-08-15T15:44:40Z,41.5774286,-93.6851847,284.2,116.9,3.014,134,85
2026-08-15T15:44:44Z,41.5773854,-93.6853483,284.8,131.6,3.032,135,83
2026-08-15T15:44:50Z,41.5773948,-93.685571,285,150.3,3.051,136,84
2026-08-15T15:44:56Z,41.5774025,-93.6857604,285.4,166.1,3.014,137,82
2026-08-15T15:44:59Z,41.5773974,-93.6858572,286,174.2,2.976,138,82
2026-08-15T15:45:02Z,41.5773863,-93.6859682,286.8,183.4,2.967,138,82
2026-08-15T15:45:04Z,41.5773781,-93.686048,287.2,190.1,2.958,138,81
2026-08-15T15:45:08Z,41.5773655,-93.6861826,287.8,201.3,2.958,139,84
2026-08-15T15:45:11Z,41.5773373,-93.6862458,288,207.4,2.921,139,83
2026-08-15T15:45:13Z,41.5773142,-93.6862691,288.2,210.1,2.902,139,82
2026-08-15T15:45:15Z,41.5772608,-93.6862769,288.4,216.1,2.846,139,82
2026-08-15T15:45:18Z,41.5771806,-93.6862766,288.4,224.9,2.865,139,82
2026-08-15T15:45:25Z,41.5769941,-93.6863035,287.8,245.7,2.893,139,83
2026-08-15T15:45:30Z,41.5768577,-93.6863209,287.4,260.9,2.921,140,82
2026-08-15T15:45:31Z,41.576831,-93.6863221,287.2,263.8,2.921,140,82
2026-08-15T15:45:38Z,41.5766256,-93.6863207,286.6,286.6,2.939,140,83
2026-08-15T15:45:44Z,41.5764465,-93.6863158,286.2,306.5,2.976,138,82
2026-08-15T15:45:46Z,41.576392,-93.6863194,286.2,312.5,2.995,136,82
2026-08-15T15:45:52Z,41.5762361,-93.6863171,285,329.8,2.986,134,83
2026-08-15T15:45:57Z,41.5761006,-93.6863224,284.4,344.8,2.967,134,81
2026-08-15T15:45:58Z,41.5760739,-93.6863189,284,347.8,2.967,134,81
2026-08-15T15:45:59Z,41.5760454,-93.6863222,283.4,350.9,2.967,134,82
2026-08-15T15:46:02Z,41.5759537,-93.6863167,282.8,361,2.976,135,82
2026-08-15T15:46:03Z,41.5759218,-93.6863164,282.8,364.5,2.986,135,82
2026-08-15T15:46:08Z,41.5757593,-93.6863073,281.8,382.6,3.023,133,81
2026-08-15T15:46:13Z,41.5756092,-93.6863315,280.4,399.5,3.042,131,81
2026-08-15T15:46:14Z,41.5755829,-93.6863592,280,403.3,3.051,131,81
2026-08-15T15:46:17Z,41.5755362,-93.686468,279.6,413.9,3.051,131,81
2026-08-15T15:46:18Z,41.5755324,-93.6865092,279.6,417.3,3.06,131,81
2026-08-15T15:46:19Z,41.575531,-93.6865525,279.4,421,3.06,131,81
2026-08-15T15:46:22Z,41.5755192,-93.6866825,278.2,431.8,3.098,131,80
2026-08-15T15:46:24Z,41.5755203,-93.6867663,277.6,438.8,3.107,131,80
2026-08-15T15:46:26Z,41.5755217,-93.6868479,277,445.6,3.116,132,81
2026-08-15T15:46:29Z,41.5755265,-93.6869459,275.8,453.9,3.135,132,81
2026-08-15T15:46:30Z,41.5755269,-93.6869842,275.4,457,3.098,132,81
2026-08-15T15:46:33Z,41.575531,-93.6870992,274.8,466.6,3.098,132,80
2026-08-15T15:46:36Z,41.5755321,-93.6872099,273.6,475.9,3.098,132,82
2026-08-15T15:46:39Z,41.5755322,-93.6873311,272.2,486,3.144,130,84
2026-08-15T15:46:42Z,41.5755278,-93.6874559,270.8,496.4,3.172,128,84
2026-08-15T15:46:44Z,41.5755195,-93.6875367,269.6,503.1,3.172,127,83
2026-08-15T15:46:48Z,41.5755016,-93.6877097,268.8,517.6,3.21,128,81
2026-08-15T15:46:50Z,41.5755018,-93.6877884,268.4,524.1,3.228,128,82
2026-08-15T15:46:54Z,41.5755059,-93.6879415,267.4,536.9,3.228,128,81
2026-08-15T15:46:55Z,41.575508,-93.6879803,266.8,540.1,3.219,128,81
2026-08-15T15:46:58Z,41.5755118,-93.6880989,265.6,550,3.228,129,81
2026-08-15T15:46:59Z,41.5755108,-93.6881391,265.4,553.4,3.228,128,81
2026-08-15T15:47:01Z,41.575509,-93.6882226,264.8,560.3,3.238,127,82
2026-08-15T15:47:02Z,41.5755095,-93.6882626,264.6,563.7,3.238,126,82
2026-08-15T15:47:05Z,41.575509,-93.6883858,263.8,573.9,3.247,126,82
2026-08-15T15:47:06Z,41.575511,-93.6884277,263.4,577.4,3.256,126,81
2026-08-15T15:47:10Z,41.5755067,-93.6885873,262.8,590.7,3.266,126,82
2026-08-15T15:47:14Z,41.5755069,-93.6887554,262.2,604.7,3.275,127,82
2026-08-15T15:47:15Z,41.5755051,-93.6887928,261.8,607.8,3.284,127,82
2026-08-15T15:47:19Z,41.575499,-93.6889386,261.2,620.1,3.275,127,81
2026-08-15T15:47:24Z,41.5754989,-93.6891091,260.8,634.3,3.228,128,83
2026-08-15T15:47:29Z,41.5754976,-93.6893042,260.6,650.5,3.228,128,82
2026-08-15T15:47:32Z,41.5754993,-93.6894135,260,659.6,3.228,128,82
2026-08-15T15:47:36Z,41.5754922,-93.6895595,259.6,671.8,3.219,129,83
2026-08-15T15:47:41Z,41.5754886,-93.6897383,259.2,686.8,3.21,129,82
2026-08-15T15:47:44Z,41.5754702,-93.6898429,258.8,695.8,3.191,129,83
2026-08-15T15:47:47Z,41.5754595,-93.6899621,258.4,705.8,3.191,129,83
2026-08-15T15:47:53Z,41.5754427,-93.6901961,258,725.4,3.191,128,83
2026-08-15T15:47:59Z,41.5754491,-93.6904167,258,743.8,3.191,128,84
2026-08-15T15:48:05Z,41.5754668,-93.6906344,258,762.1,3.182,129,84
2026-08-15T15:48:12Z,41.5755179,-93.6908698,258,782.6,3.163,129,85
2026-08-15T15:48:13Z,41.5755259,-93.6909029,258,785.5,3.154,129,86
2026-08-15T15:48:19Z,41.5755948,-93.6911087,258,804.3,3.135,130,83
2026-08-15T15:48:20Z,41.575609,-93.6911445,258,807.7,3.144,130,83
2026-08-15T15:48:22Z,41.575632,-93.6912167,257.6,814.3,3.144,130,83
2026-08-15T15:48:26Z,41.5756765,-93.6913617,257.6,827.3,3.154,128,83
2026-08-15T15:48:32Z,41.5757361,-93.6915654,257.4,845.6,3.144,126,83
2026-08-15T15:48:39Z,41.5758191,-93.6918098,257.2,868,3.144,126,84
2026-08-15T15:48:40Z,41.5758332,-93.6918435,257.4,871.2,3.135,126,84
2026-08-15T15:48:46Z,41.575898,-93.6920467,257,889.6,3.135,127,83
2026-08-15T15:48:51Z,41.5759631,-93.6922185,256.8,905.6,3.144,125,82
2026-08-15T15:48:55Z,41.5760087,-93.6923496,256.6,917.7,3.144,124,83
2026-08-15T15:48:57Z,41.5760293,-93.6924159,256.6,923.7,3.135,125,84
2026-08-15T15:49:02Z,41.576085,-93.6925774,256.8,938.3,3.126,125,84
2026-08-15T15:49:09Z,41.5762187,-93.6927773,257,960.2,3.107,126,83
2026-08-15T15:49:15Z,41.5763324,-93.692987,256.4,981.7,3.126,127,83
2026-08-15T15:49:21Z,41.5764369,-93.6931858,256.6,1001.8,3.154,127,83
2026-08-15T15:49:27Z,41.5765308,-93.6933742,256.4,1020.7,3.172,128,83
2026-08-15T15:49:33Z,41.5766493,-93.6935476,257,1040.2,3.172,128,83
2026-08-15T15:49:39Z,41.5767692,-93.6936949,257.6,1058.4,3.172,129,82
2026-08-15T15:49:40Z,41.5767957,-93.693711,257.6,1061.6,3.172,129,82
2026-08-15T15:49:47Z,41.576975,-93.6937753,257.6,1082.3,3.163,129,82
2026-08-15T15:49:48Z,41.5769999,-93.6937744,257.6,1085.1,3.154,130,83
2026-08-15T15:49:52Z,41.577082,-93.6937997,258,1094.5,3.116,130,82
2026-08-15T15:49:57Z,41.577141,-93.6939217,259,1106.9,3.07,130,81
2026-08-15T15:50:01Z,41.57717,-93.694072,259.8,1119.9,3.088,131,83
2026-08-15T15:50:07Z,41.577181,-93.6942816,259,1137.4,3.079,131,80
2026-08-15T15:50:13Z,41.5771966,-93.6944973,258,1155.5,3.042,131,81
2026-08-15T15:50:14Z,41.5772027,-93.6945288,258,1158.2,3.042,131,81
2026-08-15T15:50:17Z,41.5772183,-93.6946413,257.6,1167.7,3.032,132,81
2026-08-15T15:50:21Z,41.5772219,-93.6947915,257.6,1180.2,3.042,132,81
2026-08-15T15:50:22Z,41.577215,-93.6948304,257.4,1183.5,3.051,132,80
2026-08-15T15:50:26Z,41.5771658,-93.6949713,257,1196.6,3.051,134,79
2026-08-15T15:50:27Z,41.5771462,-93.6950041,256.8,1200,3.06,134,79
2026-08-15T15:50:31Z,41.5770656,-93.6950888,255.8,1211.5,3.07,135,81
2026-08-15T15:50:32Z,41.5770431,-93.6951089,255.8,1214.5,3.06,135,82
2026-08-15T15:50:38Z,41.576912,-93.6952035,255.2,1231.1,3.023,135,84
2026-08-15T15:50:46Z,41.5767323,-93.6953175,254.8,1253.3,2.995,135,85
2026-08-15T15:50:53Z,41.5765625,-93.6954127,255.2,1273.7,2.976,135,83
2026-08-15T15:51:00Z,41.5763934,-93.6955249,255.6,1294.6,2.967,136,83
2026-08-15T15:51:01Z,41.5763688,-93.6955418,255.6,1297.6,2.976,136,83
2026-08-15T15:51:04Z,41.5762993,-93.6955986,255.8,1306.6,2.986,136,83
2026-08-15T15:51:06Z,41.5762597,-93.695581,256,1311.2,2.986,136,81
2026-08-15T15:51:10Z,41.5761905,-93.6955236,256,1320.3,2.948,136,80
2026-08-15T15:51:11Z,41.5761686,-93.6955229,256.2,1322.7,2.939,136,80
2026-08-15T15:51:17Z,41.5760072,-93.6955666,256.2,1341,2.921,136,81
2026-08-15T15:51:23Z,41.5758307,-93.6955517,255.8,1361,3.004,137,82
2026-08-15T15:51:28Z,41.5757099,-93.6954302,255.4,1377.6,3.079,137,83
2026-08-15T15:51:31Z,41.5756626,-93.6953614,254.8,1385.4,3.079,137,83
2026-08-15T15:51:34Z,41.575626,-93.6953049,254.2,1391.6,3.023,137,82
2026-08-15T15:51:42Z,41.5755168,-93.6951109,254.8,1411.8,2.893,137,82
2026-08-15T15:51:48Z,41.5754333,-93.6949252,254.8,1430.1,2.865,138,82
2026-08-15T15:51:54Z,41.5753993,-93.6947094,254.6,1448.7,2.921,138,82
2026-08-15T15:51:59Z,41.5754456,-93.6945467,254.8,1463.3,2.939,138,82
2026-08-15T15:52:04Z,41.5755481,-93.6944246,254.6,1478.5,2.93,138,82
2026-08-15T15:52:05Z,41.5755676,-93.6943988,254.8,1481.6,2.93,138,82
2026-08-15T15:52:10Z,41.5756692,-93.694302,254.4,1495.3,2.939,138,82
2026-08-15T15:52:16Z,41.5757987,-93.694203,254.6,1511.9,2.893,138,82
2026-08-15T15:52:20Z,41.5758772,-93.6941146,254.6,1523.2,2.893,139,82
2026-08-15T15:52:24Z,41.5759552,-93.6940156,254.6,1535.2,2.883,139,83
2026-08-15T15:52:28Z,41.5760019,-93.6939046,254.4,1545.9,2.874,139,81
2026-08-15T15:52:29Z,41.5760054,-93.6938735,254.4,1548.5,2.874,139,81
2026-08-15T15:52:35Z,41.5760016,-93.6936877,254.6,1564.3,2.837,139,83
